ITEM: TIMESTEP
10010
ITEM: NUMBER OF ATOMS
800
ITEM: BOX BOUNDS pp pp pp
-2.5944702560629246e-01 8.6474470256062332e+00
-7.0800209028248489e+00 2.5003987090282470e+02
-5.4400000000000004e+00 1.4560000000000000e+01
ITEM: ATOMS id vz vx vy 
696 -0.808537 -3.6891 1.89114 
698 -2.62354 5.99288 5.1513 
699 -8.32391 -0.288185 3.60686 
701 -6.59405 -2.068 3.12572 
700 -2.44014 -0.360241 -3.87628 
703 -2.08202 -6.78046 -5.81393 
702 -0.199692 -0.776001 4.11772 
704 -3.58824 6.58644 -2.62086 
697 3.0774 10.791 6.43999 
715 -1.95901 5.92073 4.14389 
717 0.0579246 0.55433 6.29809 
718 0.309382 -2.74482 1.22803 
706 -1.00237 -1.93077 4.56719 
716 0.27702 0.315515 -1.66234 
709 2.27843 -2.44354 2.21784 
719 -2.16042 -4.43394 -1.5769 
710 0.0120541 0.0386934 -1.66124 
720 -2.04466 -3.2308 3.53863 
705 7.24892 3.33996 -1.01544 
723 4.22705 -1.08647 5.21849 
730 -6.78049 2.80276 3.57467 
724 0.381739 -0.465612 -4.11187 
733 -6.5136 -2.58681 -3.45976 
727 2.60053 -4.50343 -0.837047 
734 0.26982 2.53221 -0.6195 
728 -6.97816 3.91101 2.84512 
729 -5.77827 -8.82389 8.99667 
722 -2.29397 4.24283 2.80652 
731 1.91385 0.303325 8.4876 
725 3.44697 6.16436 -1.81481 
732 0.95896 -1.89104 -2.04864 
726 4.84748 -1.48831 10.2932 
735 6.8805 2.09628 4.8301 
721 5.46652 7.1683 0.958962 
736 -1.72531 6.27459 2.39758 
739 7.11735 -4.02179 -2.53753 
746 2.44055 -3.77614 2.39127 
740 4.42818 -1.7725 5.43216 
749 1.53072 7.67073 -2.96149 
743 0.0707965 -0.0532036 -3.09492 
750 14.4953 0.0307683 1.72543 
744 6.73335 9.67981 0.0926718 
745 6.18829 3.31584 1.14898 
747 -3.82015 -6.09202 0.193811 
748 -0.292445 -4.57841 6.90642 
751 0.324073 13.7164 0.0681031 
752 9.71445 1.16442 0.457122 
690 0.732787 1.97652 -0.080904 
707 -4.02629 1.83569 0.0125593 
693 -0.646086 -0.555365 0.785176 
708 -1.61235 2.09393 1.05792 
694 1.619 3.91958 -0.91513 
711 -3.42856 4.88116 1.45305 
712 0.885032 0.110297 7.04091 
689 7.55499 2.27949 -0.482819 
714 -4.38225 -9.25452 1.87668 
713 -1.0508 1.56879 8.41396 
755 5.34754 1.15181 -5.49303 
738 -4.03752 -0.227845 7.07538 
756 3.18086 -0.546244 -0.551952 
741 -4.60021 -3.4129 6.76993 
759 -3.95712 -0.542646 0.112305 
742 5.47799 -6.32311 4.76558 
760 1.73344 -1.49547 -3.66379 
737 2.63823 6.56423 5.15477 
762 3.83522 -2.01279 2.68656 
763 4.56515 -5.22816 -5.77962 
765 6.175 1.59979 3.59463 
764 3.93626 -3.08787 9.74093 
766 -4.71966 -4.95416 -3.45167 
767 0.885261 5.02396 -5.77706 
761 -0.994908 -2.60616 8.50097 
768 4.64898 7.55918 -7.45176 
771 4.56743 -3.91791 3.89204 
754 1.10024 5.35037 -2.33476 
772 -1.54441 -0.736291 9.52017 
757 9.70357 1.18037 3.82935 
775 2.29549 5.69994 -1.58357 
758 5.32802 1.28188 2.37489 
776 -1.9827 -0.910107 -8.38798 
753 4.29995 4.16209 -2.60257 
778 -3.44097 5.481 -0.225942 
779 -0.271687 -1.36232 -0.466765 
781 1.20699 -2.81994 -3.3754 
780 -0.133859 2.3713 -1.20381 
782 -0.890253 2.86422 0.967451 
783 3.32518 -1.03275 -3.87975 
777 -0.825292 2.1547 4.3329 
784 -1.57908 0.326553 2.50405 
770 4.155 0.338324 -0.162201 
773 5.43365 0.661121 -1.91605 
774 -3.82343 1.34384 -1.16905 
769 -3.67703 -5.798 4.30588 
787 2.08347 -6.72503 7.32517 
794 -1.67475 -7.74991 -0.610853 
788 7.37331 -4.22356 -1.82296 
797 -3.25428 1.73795 13.9565 
791 1.42924 -3.05549 5.17505 
798 -8.11644 0.727298 -2.83295 
792 -4.70129 0.345014 4.86916 
793 5.22488 1.42122 -2.10147 
786 -0.325921 -4.2149 3.14843 
795 -1.53184 4.65646 11.7643 
789 -1.46601 -2.50366 -7.326 
796 -4.0839 -4.2688 -2.10657 
790 -0.226073 1.1081 2.85125 
799 6.06699 2.36608 4.63619 
785 0.519333 0.146528 1.13051 
800 3.7277 -0.885958 0.831267 
