ITEM: TIMESTEP
10010
ITEM: NUMBER OF ATOMS
800
ITEM: BOX BOUNDS pp pp pp
-2.5944702560629246e-01 8.6474470256062332e+00
-7.0800209028248489e+00 2.5003987090282470e+02
-5.4400000000000004e+00 1.4560000000000000e+01
ITEM: ATOMS id vz vx vy 
159 -1.45455 6.12619 0.184439 
160 1.96803 8.86708 -5.21993 
146 0.997778 6.00859 -6.74101 
163 -0.449157 3.17444 -6.59068 
149 -1.75723 0.493744 2.23553 
164 -5.69263 -1.31594 1.68412 
150 1.96502 -0.547667 -2.08561 
167 -9.27039 -6.36962 -12.3021 
168 1.84357 0.758484 5.18914 
145 -1.8075 -0.599268 -2.61859 
170 -4.48307 0.346492 -0.285859 
171 -5.67702 6.8039 0.687031 
172 -0.866745 -10.1298 -1.25541 
173 4.89744 -2.59254 -2.8831 
174 0.432575 3.41078 3.60474 
175 -1.53003 6.02834 1.15075 
169 0.532038 0.642431 1.91817 
176 -2.07792 -4.61788 1.06443 
162 4.95226 -1.39734 -2.26478 
179 7.67625 -2.39873 -6.91624 
165 5.82361 -0.877577 -0.999789 
180 1.31994 -3.44921 -4.55159 
166 6.07732 0.023305 -6.42625 
183 1.52703 -1.39856 -4.30348 
161 4.90018 -6.07064 2.74607 
184 -0.570636 -3.85881 -0.936974 
186 1.56542 -1.42656 -5.14832 
189 -0.372462 2.2257 -4.55454 
188 -0.465655 12.1216 1.23327 
190 -1.66631 0.33025 -6.41293 
185 0.406388 -1.45106 -5.2731 
192 -5.96919 1.69026 -1.16535 
187 -4.28232 6.16239 -5.72446 
178 7.16499 -2.90341 -2.03385 
181 7.69911 7.37916 -0.883288 
191 5.46481 1.35233 1.49859 
182 -8.03218 6.5688 0.0535204 
177 -1.10271 -1.13061 -0.519056 
195 -8.71984 1.42624 -1.60483 
202 -2.6468 -2.92673 9.82681 
205 2.65103 8.77483 0.167905 
196 7.07915 5.2191 3.76524 
199 -6.21992 -3.28675 -0.888122 
206 3.69431 -5.60857 5.50905 
200 -4.73796 -1.38217 3.39174 
201 -1.99953 -13.045 -1.66477 
224 5.75804 -0.221531 6.19479 
227 0.310581 -2.7953 -0.156376 
210 -0.575157 -9.5741 3.06267 
228 -4.91369 7.35374 3.36234 
231 -3.58671 -4.34692 7.01286 
214 9.29151 0.608084 2.80528 
209 3.6319 1.1528 6.33054 
232 7.2724 -1.04988 0.22401 
235 0.320434 4.49204 2.96967 
234 5.06434 -0.0538932 -5.02024 
237 -5.45728 4.39687 -4.50298 
236 0.896532 9.25428 0.700562 
239 -0.640675 -2.27457 -5.34903 
238 1.34403 -0.262422 1.00048 
240 -3.01694 -4.36571 -3.39813 
233 -0.221606 0.364922 1.60469 
226 -4.74257 -0.866525 0.0996254 
243 -4.37096 2.37271 -3.92714 
229 2.3317 3.21848 -2.28523 
244 -0.544973 2.57276 4.68475 
230 -9.06075 -13.5073 -8.58062 
247 0.577006 -8.24778 -8.50111 
225 -9.28449 1.55844 -3.02402 
248 -7.5135 -0.768717 4.67464 
250 -2.07332 -1.78875 -0.885093 
251 -0.367401 2.70602 -4.22765 
253 3.31901 4.30167 6.20646 
252 1.68531 -0.0281186 -2.80022 
254 7.31263 1.57418 -3.57714 
255 1.66795 -4.38083 5.0302 
249 -6.76323 -0.191247 6.504 
256 4.55622 4.4687 -7.21268 
194 -4.54848 -3.14143 -1.14916 
203 -2.99266 -1.92571 -0.667883 
204 -7.26017 -4.81569 11.0183 
197 -5.38259 -2.03436 -0.290567 
198 -2.11876 -0.528877 -1.70416 
207 7.45325 2.10709 -6.92298 
193 0.75318 1.8536 -8.8441 
208 -5.85142 -6.30751 0.484518 
211 1.23651 -5.10813 -2.81959 
218 0.597758 7.98493 5.20116 
212 -1.86262 2.09049 4.41812 
221 8.01213 4.75147 4.51625 
215 5.79627 5.12631 3.69823 
222 -1.83711 4.59962 10.1328 
216 -6.23713 1.90528 0.548379 
217 12.4298 -1.57828 0.392677 
219 2.74705 0.709816 -4.53881 
220 3.84472 1.34396 -9.22749 
223 -4.08716 -4.09526 -4.05332 
213 -7.94345 -1.40402 -1.12693 
242 -4.40509 0.550174 -3.43694 
245 1.56462 -4.78061 1.89475 
246 -0.979018 -1.88694 4.65025 
241 -6.66155 7.91779 5.18324 
259 3.77331 -1.0613 2.15259 
266 -1.09567 -2.57239 -1.24587 
260 -5.59756 -1.76785 6.37145 
269 -3.88155 5.88965 -5.8904 
263 -1.73409 0.764512 -5.00438 
270 -0.121517 -1.44209 0.184225 
264 0.133198 -5.35742 0.429892 
265 -4.46809 1.77002 -5.58647 
258 -2.01641 -4.66966 5.38911 
267 1.76318 9.53163 -4.35381 
261 -10.8855 -1.176 -0.35029 
268 5.82216 0.793358 0.707449 
262 -1.69477 5.84841 -0.327766 
271 5.98842 -3.28552 1.89851 
257 1.75411 6.9115 -8.53869 
272 -0.628515 3.97596 -4.71033 
275 -4.43292 -4.45383 -0.573112 
282 -5.64086 0.0476775 -1.76259 
276 -1.59553 1.20464 3.31956 
285 -1.52523 -0.0816857 3.32714 
279 -3.81376 -5.25551 6.85039 
286 0.288711 0.679408 4.88265 
280 0.453539 5.08166 7.00424 
281 7.01826 1.82063 -2.19233 
283 -1.93811 0.472714 -1.67716 
274 -0.0720601 1.68243 0.357895 
284 1.9066 -7.59666 0.556208 
287 3.82021 -1.78166 2.07141 
288 -6.85467 -2.52622 2.00647 
273 3.13498 2.10991 15.0297 
291 -0.91001 1.9735 -0.523369 
277 -0.247487 0.73688 -1.88525 
292 -2.77494 1.88026 -2.03291 
278 -0.544316 3.72357 -3.48373 
295 -4.58043 -9.87047 -1.82456 
296 -6.71946 -2.89483 6.84101 
299 -1.49701 -2.45667 3.76804 
298 4.60148 2.71107 -3.23609 
300 7.6104 -1.723 -7.76826 
301 -1.61706 -6.16591 4.66343 
303 -3.35152 3.33952 -4.45393 
302 4.9918 12.9445 1.84228 
297 -0.372052 2.88285 -5.65153 
304 11.2426 -0.349322 6.44703 
290 -0.818337 -3.18614 -4.56268 
307 3.64738 5.9498 -0.788218 
293 -0.837436 -2.72871 -0.634365 
308 -3.5784 -2.80766 -2.92235 
294 2.96531 -4.91058 -3.35516 
311 -1.18834 -3.5268 2.25585 
289 1.36977 -1.22378 11.5156 
312 -1.75417 3.13675 -1.99792 
315 -3.58633 7.72857 -6.04284 
314 -1.44357 -6.32826 -5.16074 
316 -5.80968 -7.88344 -5.90018 
317 2.31611 2.80392 7.82543 
318 -7.54631 4.41592 -2.09815 
319 -3.7576 -8.52094 -2.56453 
313 0.237569 2.13254 -0.78457 
320 3.81964 -2.48587 1.79283 
306 6.72117 2.25089 -4.50122 
309 0.900375 1.55733 1.89395 
310 -0.580816 6.74224 -6.33845 
305 -2.97805 -2.92975 -2.60222 
328 -4.05038 -0.37901 -0.264994 
323 -7.1699 2.90111 4.61021 
330 -7.95612 2.11085 5.50589 
324 -11.9276 5.7826 4.51504 
333 -2.07966 -7.92226 12.2182 
327 3.69638 -0.0201257 -3.91712 
334 -0.651664 -0.808574 1.94831 
329 -1.0494 2.04506 7.8509 
322 -8.33904 -0.781678 -8.34274 
331 3.56407 4.92363 0.405767 
325 1.90876 0.774362 7.21715 
332 6.26736 -1.76315 -3.76677 
326 4.9295 -1.09001 -8.40245 
