  0.000000  0.000000  0.000000  0.000000   -0.0000   -0.0000    0.0000   10.3808   11.6212   14.3976   19.0384   27.2798   27.4983   31.5394   32.6661   36.8758   39.0237   40.8284   41.1844   42.6979   49.8654   51.4040   53.4976   53.7342   55.3292   55.6022   55.7946   58.6744   60.3876   64.8386   65.5616   66.2647   66.9852   68.7895   70.0909   70.8198   70.9240   72.3902   73.6808   74.3316   76.6654   76.8925   79.0890   81.2653   84.1068   84.9338   84.9790   87.6848   88.0050   88.5381   89.8204   90.8810   91.4840   91.8292   91.9431   92.1205   93.3048   93.3471   94.3832   94.7082   95.1136   96.0777   97.0396   97.5619   97.5827  100.9959  102.8255  105.5725  106.4773  106.9709  107.1264  108.6033  110.1856  110.8116  111.2783  112.8666  113.0823  114.4669  114.6387  115.6291  117.5320  117.6798  118.5690  119.5337  120.6442  120.8736  121.2876  121.6405  121.9596  123.1536  123.2046  123.9009  123.9324  124.9150  125.3902  125.6698  125.9662  127.6942  128.8275  129.1016  129.1460  129.5815  130.1164  131.7739
  131.8996  132.6495  134.5462  134.7643  134.9358  135.1349  135.5241  135.7477  137.1185  138.1087  138.3043  138.8839  139.0136  139.6457  139.8842  140.0328  141.9329  143.2036  143.4002  144.7404  145.5365  145.5700  146.6669  147.2192  147.2945  147.7314  148.3818  149.6091  149.6751  149.9332  150.7185  151.1267  151.1452  152.8468  153.9847  154.3507  154.5033  155.2566  155.9420  156.4701  157.1957  157.8962  158.2939  158.6401  160.2800  161.2909  163.6508  164.3756  164.7940  165.1954  165.2585  165.5846  165.5856  165.7740  166.0536  166.3210  166.4918  166.7042  167.6510  168.0960  168.2325  168.2469  168.5746  168.6423  168.6953  169.1214  169.6966  170.6833  171.0615  171.0953  171.5129  171.9489  172.2198  172.4199  172.4608  173.2541  173.7621  174.5489  174.5616  174.5713  175.2963  175.4295  175.8022  176.1376  176.5133  176.6319  176.9038  177.5087  179.2534  179.7839  179.8460  180.7882  181.2315  181.3626  181.7918  182.8065  183.0640  183.3854  183.8763  184.3648
  184.9904  185.8622  185.9262  187.7154  188.0913  188.4250  189.8781  190.2407  190.7779  190.8531  191.6767  191.9384  193.3066  194.5799  197.5395  198.8545  198.9120  199.0353  199.5116  199.6467  200.7052  200.7858  200.8024  202.9535  204.5111  204.6547  206.6795  207.1435  207.2458  208.3750  208.7172  208.7539  208.7638  210.1721  210.4406  211.0724  211.0945  211.1344  212.2762  212.5272  213.8668  214.5376  215.1451  215.5914  215.9044  217.0315  217.2538  217.5793  217.8959  218.0528  218.5609  219.3381  219.5129  221.5166  221.6452  222.1197  222.2818  222.6595  222.7130  223.2524  223.4697  223.8514  224.8603  226.7325  227.1726  227.5040  227.8015  230.7310  231.5520  231.7372  232.9530  232.9548  234.6181  235.4212  236.9987  237.3185  238.0100  238.2632  240.9701  241.1247  242.8118  245.9527  246.9157  247.1084  247.4385  251.4460  251.5002  253.3401  254.7999  257.2181  258.0325  259.0451  259.2451  259.8305  260.3915  260.5926  261.6564  262.0041  263.1510  263.5107
  265.1713  266.5760  267.0993  268.6031  268.8333  268.8407  269.2596  269.3038  269.7250  269.8922  270.4416  270.5902  271.1533  271.1603  271.9936  272.0367  272.2659  272.3969  273.0250  273.1850  273.4092  274.1666  274.5620  274.6141  274.6387  274.8028  275.0509  275.2437  276.2303  276.4047  276.6630  277.1588  277.2335  277.5575  277.6774  277.8986  279.0122  279.5955  280.1320  280.5753  280.9310  280.9661  281.9151  282.3491  282.6713  282.7958  282.9993  283.1538  283.3303  284.2607  284.2711  284.3134  284.6307  284.7223  286.7425  286.8899  287.5842  287.6307  288.4261  288.4637  288.5665  288.7234  288.8425  288.8607  289.2797  289.3023  289.9377  290.2435  290.7435  291.4401  291.7745  291.8538  292.4243  293.2405  294.0765  294.2499  294.9340  295.1316  295.5211  295.5273  295.9699  297.2439  297.4921  298.5144  298.5408  298.7201  299.9322  299.9492  300.0736  300.1085  300.5010  300.5909  300.8968  301.5124  301.5355  301.7165  301.9522  303.0683  304.3982  304.5942
  305.1627  305.8803  306.1956  306.4354  306.6439  307.2167  307.9701  308.2030  308.2178  308.6478  308.8990  309.4684  309.7739  311.0185  311.2076  311.5567  311.7770  312.4953  312.6615  313.9553  314.0490  315.2032  316.7239  317.0077  317.4658  317.5224  319.2070  319.2153  319.6159  319.9500  320.1665  320.2655  320.6447  320.6473  321.8413  322.1051  322.4756  323.0011  323.1146  323.2248  323.6519  324.2327  324.8670  324.8830  325.5987  326.0589  326.1998  326.4900  326.6653  326.8964  327.0539  327.1507  327.8384  328.2387  328.2649  328.5890  328.6232  328.6817  329.1041  329.7589  330.2879  330.5354  330.6817  330.7639  330.8382  331.3943  331.4515  331.6713  331.6931  332.0467  332.1892  332.2751  332.5752  332.6990  332.9261  333.3397  333.5588  333.6510  334.6025  335.5224  335.9216  336.1419  336.1662  336.7685  337.8716  337.8787  338.0994  338.7905  339.1027  339.3570  339.7452  340.3037  340.8489  341.4815  341.9358  342.0008  342.1737  342.2976  344.2509  345.8896
  346.5196  347.2359  347.2402  347.2699  347.6409  347.9826  348.1708  349.2444  349.3500  349.5191  349.5583  350.4621  350.4778  350.5759  351.0328  351.1798  351.3091  351.9750  351.9944  352.2797  352.6056  352.6206  352.8140  352.9871  353.0535  353.0886  353.4264  353.6811  354.0469  354.1089  354.4425  354.5023  354.7827  354.9160  355.1640  355.3357  355.5359  355.6359  355.7139  355.7228  355.8283  356.3416  356.5584  356.6278  356.7909  356.9249  356.9805  357.1043  357.1605  357.3076  357.5896  358.1313  358.3103  358.3646  358.5092  358.5845  359.1040  359.2010  359.2432  359.3810  359.4781  359.8159  360.5050  360.6911  361.2549  361.3249  361.3873  361.6815  361.7357  361.8183  362.2191  362.5197  362.7275  362.8505  363.6112  363.7320  363.7808  363.9853  365.6881  366.3683  366.4224  366.8035  367.6142  367.6198  367.7416  368.0279  368.6569  374.1553  375.5121  375.9746  376.0819  380.0811  383.8613  386.8393  386.9184  388.0408  391.7605  395.9222  396.6942  397.4459
  398.4302  402.2716  402.9419  403.6140  406.0423  406.6457  408.2675  408.4532  408.5458  408.6275  408.6528  409.8967  410.2057  410.3097  410.6597  411.8460  411.8594  412.6782  412.7354  413.6998  413.8829  414.0284  414.3587  414.3607  414.8245  415.0990  415.3839  416.3043  416.3927  416.6104  416.8513  416.8939  417.0628  417.1351  417.2624  417.4809  417.6278  417.7059  417.8057  417.8862  417.9027  418.2374  418.9101  418.9649  419.3475  419.6468  419.7098  420.1713  420.5096  421.1698  421.3348  421.3973  421.5066  422.2351  422.2858  422.9900  423.0777  423.2587  423.2758  423.7273  424.0414  424.1491  424.3455  424.6913  424.9198  425.1992  425.5394  425.6148  426.4004  426.4257  426.8237  426.9380  427.2877  427.3211  427.5318  427.5629  427.7517  427.8390  427.8644  428.0947  428.2187  428.4493  428.4930  428.6476  428.8381  429.3855  429.6083  430.0978  430.5873  433.6449  435.9114  436.5671  438.4995  438.6120  440.9239  441.2127  444.0305  444.8820  445.9150  447.3728
  451.6695  451.8163  459.7166  460.8381  462.7338  465.8562  467.1293  468.8327  470.8562  471.5513  474.0787  476.5910  480.6645  483.6909  487.3994  491.9103  493.9862  494.5482  496.7109  502.7979
  0.010204  0.010204  0.000000  0.000000    0.0010    0.6680    0.3970   10.3710   11.6210   14.4040   19.0410   27.2730   27.4900   31.5480   32.6740   36.8190   39.0740   40.8290   41.1800   42.7020   49.8620   51.3970   53.4960   53.6980   55.3390   55.6400   55.7640   58.7040   60.3900   64.6240   65.4870   66.4780   67.0540   68.7900   70.0880   70.8230   70.8950   72.3750   73.7080   74.3520   76.6660   76.8940   79.0860   81.2630   84.1020   84.9330   84.9730   87.6780   88.0020   88.5270   89.8220   90.8800   91.4640   91.8270   91.9300   92.1350   93.3130   93.3460   94.3820   94.7100   95.0310   96.1770   97.0410   97.5800   97.5890  100.9950  102.8200  105.5640  106.4750  106.9790  107.1160  108.6160  110.1800  110.7610  111.3300  112.8440  113.0820  114.4670  114.6380  115.6320  117.5320  117.6690  118.5630  119.5320  120.6330  120.8690  121.2560  121.6400  121.9810  123.1580  123.2030  123.9050  123.9490  124.9130  125.3930  125.6750  125.9730  127.6950  128.8290  129.1020  129.1460  129.5820  130.1300  131.7730
  131.8990  132.6480  134.5280  134.7610  134.9350  135.1300  135.5140  135.7460  137.1180  137.9860  138.3060  138.9010  139.1320  139.6470  139.8820  140.0320  141.9400  143.2040  143.4070  144.7410  145.5370  145.5620  146.6620  147.2130  147.2900  147.7330  148.3820  149.6140  149.6690  149.9280  150.7100  151.0800  151.1980  152.8600  153.9970  154.3490  154.5060  155.2410  155.9400  156.4870  157.1980  157.9020  158.2920  158.6410  160.2740  161.2910  163.6200  164.3690  164.7940  165.1990  165.2590  165.5820  165.5860  165.7540  166.0550  166.3520  166.4830  166.7060  167.6470  168.0950  168.2320  168.2510  168.5740  168.6420  168.6960  169.1250  169.6970  170.6830  171.0610  171.0950  171.5020  171.9490  172.2190  172.4220  172.4570  173.2550  173.7620  174.5520  174.5610  174.5710  175.2950  175.4270  175.7950  176.1540  176.5130  176.6300  176.9030  177.5070  179.2520  179.7580  179.8450  180.7610  181.2490  181.3820  181.7920  182.8070  183.0640  183.4030  183.8750  184.2050
  185.1540  185.8620  185.9250  187.7150  188.0920  188.4210  189.8660  190.2330  190.7750  190.8550  191.6840  191.9440  193.3100  194.5880  197.5370  198.8540  198.9130  199.0350  199.5070  199.6460  200.7010  200.7870  200.8020  202.9500  204.5100  204.6530  206.6800  207.1460  207.2420  208.3760  208.7170  208.7530  208.7630  210.1700  210.4430  211.0720  211.0940  211.1340  212.2670  212.5300  213.8640  214.5340  215.1530  215.5880  215.8990  217.0310  217.2550  217.5760  217.8950  218.0440  218.5640  219.2710  219.5940  221.5170  221.6420  222.1190  222.2810  222.6600  222.7160  223.2520  223.4690  223.8510  224.8580  226.7310  227.1720  227.5020  227.8020  230.7310  231.5510  231.7360  232.9530  232.9540  234.6180  235.4210  236.9980  237.3180  238.0100  238.2630  240.9700  241.1240  242.8110  245.9520  246.9150  247.1080  247.4380  251.4460  251.5000  253.3400  254.7990  257.2180  258.0320  259.0440  259.2450  259.8300  260.3910  260.5920  261.6560  262.0040  263.1500  263.5100
