# Chunk-averaged data for fix 11 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount v_temp
20000000 3200 9600
  169 0.0525 0.53125 3 307.095
  170 0.0525 0.59375 3 306.9
  171 0.0525 0.65625 3 306.215
  172 0.0525 0.71875 3 306.91
  173 0.0525 0.78125 3 306.705
  174 0.0525 0.84375 3 306.471
  175 0.0525 0.90625 3 307.947
  176 0.0525 0.96875 3 307.433
  177 0.0575 0.03125 3 306.999
  178 0.0575 0.09375 3 306.129
  179 0.0575 0.15625 3 308.333
  180 0.0575 0.21875 3 306.146
  181 0.0575 0.28125 3 307.782
  182 0.0575 0.34375 3 306.461
  183 0.0575 0.40625 3 304.277
  184 0.0575 0.46875 3 306.765
  185 0.0575 0.53125 3 307.582
  186 0.0575 0.59375 3 305.924
  187 0.0575 0.65625 3 307.115
  188 0.0575 0.71875 3 306.894
  189 0.0575 0.78125 3 307.162
  190 0.0575 0.84375 3 307.101
  191 0.0575 0.90625 3 307.196
  192 0.0575 0.96875 3 306.137
  193 0.0625 0.03125 3 307.258
  194 0.0625 0.09375 3 306.83
  195 0.0625 0.15625 3 304.888
  196 0.0625 0.21875 3 305.097
  197 0.0625 0.28125 3 307.017
  198 0.0625 0.34375 3 305.642
  199 0.0625 0.40625 3 306.866
  200 0.0625 0.46875 3 306.948
  201 0.0625 0.53125 3 306.741
  202 0.0625 0.59375 3 306.64
  203 0.0625 0.65625 3 307.397
  204 0.0625 0.71875 3 306.801
  205 0.0625 0.78125 3 306.242
  206 0.0625 0.84375 3 307.231
  207 0.0625 0.90625 3 306.034
  208 0.0625 0.96875 3 306.01
  209 0.0675 0.03125 3 306.178
  210 0.0675 0.09375 3 306.032
  211 0.0675 0.15625 3 305.483
  212 0.0675 0.21875 3 304.97
  213 0.0675 0.28125 3 305.464
  214 0.0675 0.34375 3 305.108
  215 0.0675 0.40625 3 306.697
  216 0.0675 0.46875 3 305.772
  217 0.0675 0.53125 3 306.529
  218 0.0675 0.59375 3 308.385
  219 0.0675 0.65625 3 307.085
  220 0.0675 0.71875 3 306.95
  221 0.0675 0.78125 3 308.118
  222 0.0675 0.84375 3 306.067
  223 0.0675 0.90625 3 306.201
  224 0.0675 0.96875 3 306.553
  225 0.0725 0.03125 3 306.93
  226 0.0725 0.09375 3 305.759
  227 0.0725 0.15625 3 306.733
  228 0.0725 0.21875 3 305.765
  229 0.0725 0.28125 3 307.013
  230 0.0725 0.34375 3 306.038
  231 0.0725 0.40625 3 307.392
  232 0.0725 0.46875 3 306.571
  233 0.0725 0.53125 3 306.637
  234 0.0725 0.59375 3 307.361
  235 0.0725 0.65625 3 305.096
  236 0.0725 0.71875 3 306.14
  237 0.0725 0.78125 3 307.83
  238 0.0725 0.84375 3 307.966
  239 0.0725 0.90625 3 307.16
  240 0.0725 0.96875 3 306.583
  241 0.0775 0.03125 3 306.079
  242 0.0775 0.09375 3 305.69
  243 0.0775 0.15625 3 306.723
  244 0.0775 0.21875 3 306.034
  245 0.0775 0.28125 3 306.992
  246 0.0775 0.34375 3 305.14
  247 0.0775 0.40625 3 305.903
  248 0.0775 0.46875 3 306.673
  249 0.0775 0.53125 3 306.572
  250 0.0775 0.59375 3 307.04
  251 0.0775 0.65625 3 306.235
  252 0.0775 0.71875 3 305.595
  253 0.0775 0.78125 3 306.218
  254 0.0775 0.84375 3 306.437
  255 0.0775 0.90625 3 305.675
  256 0.0775 0.96875 3 306.483
  257 0.0825 0.03125 3 307.094
  258 0.0825 0.09375 3 305.871
  259 0.0825 0.15625 3 306.373
  260 0.0825 0.21875 3 306.691
  261 0.0825 0.28125 3 305.333
  262 0.0825 0.34375 3 305.518
  263 0.0825 0.40625 3 306.972
  264 0.0825 0.46875 3 306.64
  265 0.0825 0.53125 3 307.054
  266 0.0825 0.59375 3 306.229
  267 0.0825 0.65625 3 306.07
  268 0.0825 0.71875 3 304.825
  269 0.0825 0.78125 3 305.644
  270 0.0825 0.84375 3 306.67
  271 0.0825 0.90625 3 306.392
  272 0.0825 0.96875 3 306.662
  273 0.0875 0.03125 3 306.371
  274 0.0875 0.09375 3 306.603
  275 0.0875 0.15625 3 305.526
  276 0.0875 0.21875 3 306.6
  277 0.0875 0.28125 3 306.786
  278 0.0875 0.34375 3 305.433
  279 0.0875 0.40625 3 306.237
  280 0.0875 0.46875 3 306.421
  281 0.0875 0.53125 3 305.612
  282 0.0875 0.59375 3 305.634
  283 0.0875 0.65625 3 305.453
  284 0.0875 0.71875 3 304.693
  285 0.0875 0.78125 3 305.139
  286 0.0875 0.84375 3 306.922
  287 0.0875 0.90625 3 306.847
  288 0.0875 0.96875 3 306.851
  289 0.0925 0.03125 3 306.784
  290 0.0925 0.09375 3 307.815
  291 0.0925 0.15625 3 306.416
  292 0.0925 0.21875 3 307.822
  293 0.0925 0.28125 3 306.649
  294 0.0925 0.34375 3 306.812
  295 0.0925 0.40625 3 305.839
  296 0.0925 0.46875 3 306.604
  297 0.0925 0.53125 3 306.621
  298 0.0925 0.59375 3 306.181
  299 0.0925 0.65625 3 305.674
  300 0.0925 0.71875 3 305.507
  301 0.0925 0.78125 3 305.882
  302 0.0925 0.84375 3 306.778
  303 0.0925 0.90625 3 305.941
  304 0.0925 0.96875 3 306.116
  305 0.0975 0.03125 3 307.205
  306 0.0975 0.09375 3 306.6
  307 0.0975 0.15625 3 306.803
  308 0.0975 0.21875 3 306.378
  309 0.0975 0.28125 3.00001 307.062
  310 0.0975 0.34375 3 306.436
  311 0.0975 0.40625 3 305.874
  312 0.0975 0.46875 3 306.698
  313 0.0975 0.53125 3 306.759
  314 0.0975 0.59375 3 305.246
  315 0.0975 0.65625 3 305.32
  316 0.0975 0.71875 3 306.235
  317 0.0975 0.78125 3 306.856
  318 0.0975 0.84375 3 305.763
  319 0.0975 0.90625 3 305.581
  320 0.0975 0.96875 3 306.835
  321 0.1025 0.03125 3 306.124
  322 0.1025 0.09375 3.00001 307.132
  323 0.1025 0.15625 3.00001 306.404
  324 0.1025 0.21875 3.00001 306.628
  325 0.1025 0.28125 3.00001 306.769
  326 0.1025 0.34375 3.00001 306.839
  327 0.1025 0.40625 3.00002 306.879
  328 0.1025 0.46875 3.00001 306.368
  329 0.1025 0.53125 3 305.991
  330 0.1025 0.59375 3.00001 304.941
  331 0.1025 0.65625 3 305.768
  332 0.1025 0.71875 3 306.447
  333 0.1025 0.78125 3 306.976
  334 0.1025 0.84375 3.00001 306.399
  335 0.1025 0.90625 3 306.886
  336 0.1025 0.96875 3 306.503
  337 0.1075 0.03125 3.00003 305.212
  338 0.1075 0.09375 3.00005 305.286
  339 0.1075 0.15625 3.00005 305.593
  340 0.1075 0.21875 3.00003 306.94
  341 0.1075 0.28125 3.00005 307.281
  342 0.1075 0.34375 3.00006 307.021
  343 0.1075 0.40625 3.00003 306.44
  344 0.1075 0.46875 3.00002 306.01
  345 0.1075 0.53125 3.00003 305.717
  346 0.1075 0.59375 3.00001 306.726
  347 0.1075 0.65625 3.00002 305.88
  348 0.1075 0.71875 3.00001 306.762
  349 0.1075 0.78125 3.00003 305.797
  350 0.1075 0.84375 3.00002 306.286
  351 0.1075 0.90625 3.00001 306.227
  352 0.1075 0.96875 3.00001 306.913
  353 0.1125 0.03125 3.00008 304.7
  354 0.1125 0.09375 3.00007 305.28
  355 0.1125 0.15625 3.00006 306.151
  356 0.1125 0.21875 3.00013 305.931
  357 0.1125 0.28125 3.00011 305.542
  358 0.1125 0.34375 3.00011 306.355
  359 0.1125 0.40625 3.00008 306.625
  360 0.1125 0.46875 3.00011 307.453
  361 0.1125 0.53125 3.00007 306.202
  362 0.1125 0.59375 3.00006 304.804
  363 0.1125 0.65625 3.00008 305.682
